상호명,지점명,상권업종중분류코드,도로명주소,경도,위도,시,구,ID
스타벅스,분당구청점,Q12,경기도 성남시 분당구 분당로 43,127.120258905034,37.3840602572395,경기도,성남시,성남
스타벅스,주엽사거리점,Q12,경기도 고양시 일산서구 중앙로 1456,126.75895834214701,37.6715467476635,경기도,고양시,고양
스타벅스,수원성균관대점,Q12,경기도 수원시 장안구 서부로 2131,126.97156195882499,37.298961539019,경기도,수원시,수원
스타벅스,서현역점,Q12,경기도 성남시 분당구 서현로210번길 20,127.12402092583099,37.385854297475795,경기도,성남시,성남
스타벅스,수원인계점,Q12,경기도 수원시 팔달구 권광로 199,127.03289838935899,37.2655346685802,경기도,수원시,수원
스타벅스,동수원DT점,Q12,경기도 수원시 팔달구 중부대로 157,127.03353779295901,37.278137118976495,경기도,수원시,수원
스타벅스,용인기흥구청점,Q12,경기도 용인시 기흥구 구갈로 71-18,127.110727384765,37.2826619109289,경기도,용인시,용인
스타벅스,뉴코아야탑점,Q12,경기도 성남시 분당구 야탑로81번길 11,127.12746808049,37.4109297153589,경기도,성남시,성남
스타벅스,광교신대역점,Q12,경기도 용인시 수지구 광교마을로 41,127.069161875958,37.2990124975391,경기도,용인시,용인
스타벅스,수원매산점,Q12,경기도 수원시 팔달구 매산로 11,127.00271427825899,37.2674378523607,경기도,수원시,수원
스타벅스,라페스타광장점,Q12,경기도 고양시 일산동구 중앙로1275번길 38-9,126.770149415182,37.659680543564704,경기도,고양시,고양
스타벅스,백석점,Q12,경기도 고양시 일산동구 중앙로 1059,126.786148315475,37.6439163563375,경기도,고양시,고양
스타벅스커피마장휴게소,,Q12,경기도 이천시 마장면 중부고속도로 82,127.40847571045401,37.262744409998,경기도,이천시,이천
스타벅스,죽전점,Q12,경기도 용인시 수지구 현암로 140,127.12475401039801,37.3314974163333,경기도,용인시,용인
스타벅스,판교역로점,Q12,경기도 성남시 분당구 판교역로192번길 14,127.111395465133,37.397374980418604,경기도,성남시,성남
스타벅스,강남대점,Q12,경기도 용인시 기흥구 강남로 3,127.126131428473,37.2709903107511,경기도,용인시,용인
스타벅스오리역삼거리,,Q12,경기도 성남시 분당구 성남대로 45,127.10838098932899,37.340043601820504,경기도,성남시,성남
스타벅스분당정자분당정자점,분당정자점,Q12,경기도 성남시 분당구 성남대로 393,127.10720528516501,37.3716627072825,경기도,성남시,성남
스타벅스,미금역점,Q12,경기도 성남시 분당구 돌마로 43,127.10665636594801,37.3503479964361,경기도,성남시,성남
스타벅스,정자상떼뷰점,Q12,경기도 성남시 분당구 정자일로213번길 18,127.10558437802099,37.3702988413496,경기도,성남시,성남
스타벅스,서현점,Q12,경기도 성남시 분당구 황새울로360번길 19,127.12592898259899,37.385886437451504,경기도,성남시,성남
스타벅스정자아데나,,Q12,경기도 성남시 분당구 성남대로 275,127.10760396940701,37.3608797851082,경기도,성남시,성남
스타벅스,동탄광장점,Q12,경기도 화성시 동탄지성로 17,127.072034880212,37.204609311229206,경기도,화성시,화성
스타벅스,판교봇들마을점,Q12,경기도 성남시 분당구 판교로 372,127.11566934642201,37.4037055404319,경기도,성남시,성남
스타벅스,수원이비스점,Q12,경기도 수원시 팔달구 권광로 132,127.03129946049499,37.259213962314,경기도,수원시,수원
스타벅스,안산문화광장점,Q12,경기도 안산시 단원구 광덕대로 154,126.83072474056401,37.310160717624704,경기도,안산시,안산
스타벅스,하남시청점,Q12,경기도 하남시 대청로 34,127.215966129307,37.54051991029171,경기도,하남시,하남
스타벅스,안양역점,Q12,경기도 안양시 만안구 장내로149번길 53,126.922165542127,37.400315800541,경기도,안양시,안양
스타벅스,판교브릿지타워점,Q12,경기도 성남시 분당구 판교로227번길 6,127.099278683706,37.4028789753799,경기도,성남시,성남
스타벅스,용인마북DT점,Q12,경기도 용인시 기흥구 용구대로 2330,127.110338230918,37.2946435115567,경기도,용인시,용인
스타벅스,이천하이닉스점,Q12,경기도 이천시 부발읍 경충대로 2100,127.48995592847601,37.252571373959796,경기도,이천시,이천
스타벅스,파주운정점,Q12,경기도 파주시 와석순환로 135,126.744458195993,37.7120285598793,경기도,파주시,파주
스타벅스이천터미널,,Q12,경기도 이천시 중리천로 84,127.446334174098,37.278219380447204,경기도,이천시,이천
스타벅스,부천스테이트몰점,Q12,경기도 부천시 신흥로 170,126.777835542948,37.498882676981204,경기도,부천시,부천
스타벅스,안산고잔점,Q12,경기도 안산시 단원구 당곡로 12,126.833680349106,37.3181913636383,경기도,안산시,안산
스타벅스,평내DT점,Q12,경기도 남양주시 경춘로 1269,127.23466006379,37.647759795110204,경기도,남양주시,남양주
스타벅스,의정부중앙점,Q12,경기도 의정부시 행복로 7,127.04814006604201,37.739586565271296,경기도,의정부시,의정부
스타벅스,백석역점,Q12,경기도 고양시 일산동구 중앙로 1054,126.787382470059,37.64397409976829,경기도,고양시,고양
스타벅스파주금릉역,파주금릉역,Q12,경기도 파주시 금릉역로 84,126.765931116178,37.7521425603281,경기도,파주시,파주
스타벅스,구리돌다리점,Q12,경기도 구리시 검배로 5,127.14192790548701,37.6006098780667,경기도,구리시,구리
스타벅스,수지이마트점,Q12,경기도 용인시 수지구 수지로 203,127.08331422604601,37.319730822725205,경기도,용인시,용인
스타벅스,안양비산DT점,Q12,경기도 안양시 동안구 경수대로 821,126.94285348097,37.3925281637662,경기도,안양시,안양
스타벅스,평촌아크로타워점,Q12,경기도 안양시 동안구 시민대로 230,126.95649889206499,37.392306965353605,경기도,안양시,안양
스타벅스판교에이치스퀘어,판교H스퀘어,Q12,경기도 성남시 분당구 판교역로 231,127.10863878625099,37.401264899024504,경기도,성남시,성남
스타벅스,범계로데오점,Q12,경기도 안양시 동안구 평촌대로 223,126.955099032598,37.391456612415,경기도,안양시,안양
스타벅스,수내점,Q12,경기도 성남시 분당구 황새울로 234,127.11422571688699,37.3795278512968,경기도,성남시,성남
스타벅스,정자역점,Q12,경기도 성남시 분당구 성남대로343번길 12-2,127.10672097855,37.3668022303884,경기도,성남시,성남
스타벅스커피용인처인구청,,Q12,경기도 용인시 처인구 금령로 60,127.202926246884,37.234749233248,경기도,용인시,용인
스타벅스커피분당서울대병원1층,,Q12,경기도 성남시 분당구 구미로173번길 82,127.124470630558,37.3520220371583,경기도,성남시,성남
스타벅스,수내역,Q12,경기도 성남시 분당구 백현로101번길 30,127.11380627139,37.3777495836705,경기도,성남시,성남
스타벅스분당정자,분당정자,Q12,경기도 성남시 분당구 성남대로 393,127.10720528516501,37.3716627072825,경기도,성남시,성남
스타벅스,평택로데오점,Q12,경기도 평택시 중앙2로 13,127.088521198318,36.9919560649725,경기도,평택시,평택
스타벅스,광교이마트점,Q12,경기도 수원시 영통구 광교로 191,127.046941286326,37.296339638053105,경기도,수원시,수원
스타벅스,킨텍스이마트점,Q12,경기도 고양시 일산서구 한류월드로 407,126.742244215322,37.663837258588295,경기도,고양시,고양
