,상호명,지점명,상권업종중분류코드,도로명주소,경도,위도
6550,카페알롱제,,Q12,서울특별시 광진구 아차산로78길 177,127.108246912721,37.547513661881105
6554,카페IN,,Q12,서울특별시 강동구 양재대로136길 58,127.14688571759599,37.548231652964795
6571,카페멜로우,,Q12,서울특별시 송파구 송이로17길 58-26,127.126543756351,37.5011468331575
6587,누아네,,Q12,서울특별시 용산구 신흥로 103,126.984522673354,37.5448655355812
6596,빌리엔젤강남,,Q12,서울특별시 강남구 테헤란로1길 48,127.027070450886,37.501432682551105
6600,커피오카,,Q12,서울특별시 강남구 압구정로50길 14,127.037854444289,37.5274172859935
6664,Asthoughlhadwings..,,Q12,서울특별시 강남구 도산대로33길 16,127.030009756171,37.5216314389859
6683,삼거리커피숍,,Q12,서울특별시 성동구 왕십리로 362-1,127.030452644161,37.5643177509017
6689,훈스커피랩,,Q12,서울특별시 금천구 가산디지털1로 2,126.887987626062,37.4668214816265
6692,동부,,Q12,서울특별시 광진구 아차산로 399,127.08702450167,37.5375840696398
6717,평범한카페,,Q12,서울특별시 강서구 공항대로55길 33,126.861332691634,37.5546173265003
6730,카흐베하네,,Q12,서울특별시 광진구 면목로 137,127.080875496996,37.5656221228895
6737,AVECMOI,,Q12,서울특별시 강동구 천중로51길 56,127.144916856439,37.5432525946975
6758,착한커피,,Q12,서울특별시 구로구 디지털로33길 12,126.89614202783501,37.4865407988684
6855,여성건강카페화음,,Q12,서울특별시 은평구 은평로 195,126.928802899942,37.602445016465296
6870,연지다방,,Q12,서울특별시 금천구 독산로68길 8,126.902597322586,37.4657506614495
6887,꼼작,,Q12,서울특별시 은평구 갈현로 181-17,126.911108991616,37.6143929326138
6943,아름다운사람들의공간,,Q12,서울특별시 강동구 양재대로98길 21,127.138780413442,37.5307283649091
6944,삼무곡,,Q12,서울특별시 종로구 대학로11길 23,127.000400639028,37.582051926401896
6967,모노치즈카폐,,Q12,서울특별시 종로구 성균관로 16,126.997653480121,37.584281231398
6976,로씨,,Q12,서울특별시 동대문구 한천로 42,127.06170755026399,37.565939882897
6986,엠키친앤카페,,Q12,서울특별시 동대문구 왕산로 226,127.047629036851,37.58170356839229
6992,CAFEB,,Q12,서울특별시 서초구 신반포로 176,127.00239321346001,37.5039300142165
6999,투앤쓰리카페,,Q12,서울특별시 구로구 디지털로31길 38-21,126.893699961912,37.4865179558948
7002,빽다방커피,,Q12,서울특별시 서초구 서초중앙로22길 25,127.01544686795799,37.4934611599069
7024,데니스커피남강점,커피남강점,Q12,서울특별시 관악구 난곡로 195,126.91900678481001,37.472335426809295
7064,lamp,,Q12,서울특별시 강남구 광평로 280,127.10309432439101,37.487311037413605
7092,할러스커피,,Q12,서울특별시 종로구 종로 113,126.99011681089199,37.570575234717495
7105,ceccoBeppe카페,,Q12,서울특별시 서초구 서초대로40길 49,127.008217489212,37.489427036772206
