title,writer,price
"IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습",양대일 ,26000
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크 (개정판)",박기현 ,27000
"IT CookBook, 자바스크립트 프로그래밍 입문",윤인성 ,25000
"IT CookBook, 처음 만나는 자동제어공학",김성중 ,18000
"IT CookBook, HTML & CSS for Beginner",황재호 ,23000
"IT CookBook, 처음 만나는 전기기기","최은혁 , 박숭규 ",20000
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 엔트리 & 햄스터","황준 , 박광현 , 이웅재 , 최은정 , 고혜영 , 이재호 , 손예진 , 조민주 ",20000
ITQ 엑셀 2010,"장수진, 유우종, 임관철 , 김경희 ",15000
ITQ 파워포인트 2010,"장수진, 유우종, 임관철 , 김경희 ",15000
ITQ 한글 2010,"장수진, 유우종, 임관철 , 김경희 ",15000
"IT CookBook, 인터넷 윤리","최희식 , 김상균 ",22000
한 권으로 합격하는 MOS 2010 엑셀과 파워포인트,"김경희 , 오해강 ",15000
파이썬으로 배우는 프로그래밍 기초,크리스 로피 ,13000
"IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈 ",29000
제대로 알고 쓰는 R 통계분석,이윤환 ,25000
"IT CookBook, C로 배우는 쉬운 자료구조(개정3판)",이지영 ,27000
"IT CookBook, 처음 만나는 디지털 논리회로","임석구 , 홍경호 ",22000
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 파이썬",우재남 ,22000
"IT CookBook, 기초 신호 및 시스템",이철희 ,26000
생생한 사례로 배우는 확률과 통계,이재원 ,25000
공학과 경영,김상균 ,26000
"IT CookBook, 운영체제(개정3판)",구현회 ,27000
"IT CookBook, 처음 만나는 전자기학",곽동주 ,23000
"IT CookBook, 디지털 콘텐츠 기획",김성은 ,26000
IT 해외 취업 가이드 : 미국편,송기봉 ,18000
"IT CookBook, 기초전자실험(개정판) : with PSpice",홍순관 ,17000
"IT CookBook, 따라 하면서 배우는 아두이노",허경용 ,26000
제대로 시작하는 기초 통계학 : Excel 활용,노경섭 ,24000
"IT CookBook, 윈도우 서버 2012 R2 : 설치, 운영, 관리+실무 팁","남훈식 , 최영락 ",28000
스크래치를 활용한 문제해결능력 향상,김종훈 ,9000
대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,김종훈 ,18000
미적분학,"Carol Ash , Robert B. Ash ",35000
"IT CookBook, 처음 만나는 전력공학","박숭규 , 최은혁 , 최병숙 ",23000
"IT CookBook, 처음 만나는 회로이론",방성완 ,20000
최신 공학수학 with Sage Ⅰ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",25000
최신 공학수학 with Sage Ⅱ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",23000
창의적 공학설계(개정판),김은경 ,22000
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller ,28000
"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정3판)",조준모 ,17000
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연 ,25000
"IT CookBook, 전자상거래와 e-비즈니스(개정3판)",이동훈 ,25000
"IT CookBook, 컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론","이동명 , 권오현 , 고정국 ",24000
"IT CookBook, 핵심이 보이는 반도체 공학",권기영 ,28000
"IT CookBook, 원리로 이해하는 전력전자공학 : 기초부터 응용까지","원충연 , 김영렬 , 이택기 , 정용채 , 이병국 ",26000
"IT CookBook, C# 프로그래밍 : 프로그래밍 기초부터 객체 지향 핵심까지",윤인성 ,25000
"IT CookBook, 쉽게 배우는 소프트웨어 공학",김치수 ,25000
"IT CookBook, 시스템 분석과 설계(개정판) : 효과적인 비즈니스 정보시스템 개발",허원실 ,25000
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정 ,25000
"IT CookBook, UI/UX 디자인 이론과 실습",이영주 ,27000
"IT CookBook, 정보보안 이론과 실제",마크 스탬프 ,25000
"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영 , 황준하 , 고재필 , 윤현주 , 김용호 ",20000
앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍,"David Wolber , Hal Abelson , Ellen Spertus , Liz Looney ",24000
easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근 ,23000
"IT CookBook, 원리로 이해하는 마이크로파 공학",홍익표 ,26000
"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively",김은경 ,23000
"IT CookBook, 디지털 논리회로(개정3판) : 이론, 실습, 시뮬레이션","임석구 , 홍경호 ",27000
"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍",강경우 ,26000
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연 , 설한국 ",27000
창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL,조준동 ,24000
"IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용",홍성용 ,27000
전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS,장윤석 ,22000
"IT CookBook, Play 포토샵",원다예 ,22000
"IT CookBook, 엑셀과 파워포인트 2013 개정판",강동진 외 4 ,22000
"IT CookBook, 비주얼 베이직 2010 for Beginner",임관철 ,24000
"IT CookBook, C C++로 배우는 자료구조론",주우석 ,23000
"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템",이종형 ,28000
"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍 , 장선봉 , 지인호 ",25000
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정 ,20000
정보보안 기사 & 산업기사 (필기),"윤대원 , 박인근 ",29000
"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영 ,22000
"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지",이철희 ,28000
"IT CookBook, 실전에 강한 PLC : 기본 이론부터 실습까지",정완보 ,20000
"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications",한동석 ,24000
공학 핵심수학 : Core Mathematics for Engineering,함남우 ,20000
"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서 , 차유빈 ",20000
"IT CookBook, Compact C 프로그래밍",김충석 ,24000
"IT CookBook, 스마트 시대의 멀티미디어 : 멀티미디어 기본 이론부터 최신 기술 동향까지","김용태 , 박길철 ",28000
"IT CookBook, 한글 2014 for Beginner",양숙희 ,10000
"IT CookBook, 엑셀 2013 for Beginner",양숙희 ,10000
"IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림",강문식 ,26000
"IT CookBook, 워드 2013 for Beginner",최희식 ,10000
"IT CookBook, 파워포인트 2013 for Beginner",최희식 ,10000
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원 ,26000
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 ,23000
"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정 ,26000
"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희 ,10000
"IT CookBook, C 언어로 배우는 8051 마이크로프로세서",임석구 ,25000
"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby , Michel M. Maharbiz ",34000
"IT CookBook, 실무로 완성하는 최신 안테나 공학 : 이론에서 실무까지","Yi Huang , Kevin Boyle ",25000
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ",47000
이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics,안승철 ,23000
공학 기초수학 : Basic Mathematics for Engineering,함남우 ,18000
"IT CookBook, 컴퓨터 비전",오일석 ,35000
실전으로 배우는 발명·특허,윤상원 ,22000
설계 프로세스로 배우는 창의적 공학설계,노승환 ,20000
"IT CookBook, 빅데이터 컴퓨팅 기술","박두순 , 문양세 , 박영호 , 윤찬현 , 정영식 , 장형석 ",22000
"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지",이강윤 ,22000
"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지",신경욱 ,26000
"IT CookBook, 익스플로링 아두이노",JEREMY BLUM ,27000
"IT CookBook, RF 및 초고주파 공학",카이 창(Kai Chang) ,24000
"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현 , 김형철 ",22000
"IT CookBook, 엑셀 2010 실무와 활용",전미진 ,19000
"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진 , 고경희 ",21000
"IT CookBook, 파워포인트 2010 실무와 활용",고경희 ,19000
"IT CookBook, ASP.NET 4.0 프로그래밍",김동아 ,28000
"IT CookBook, 초보자의 첫 번째 워드 2010",최희식 ,10000
"IT CookBook, 파워포인트 2007 실무와 활용",고경희 ,18000
"IT CookBook, New 인터넷 이해와 활용",김경신 ,25000
"IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍",황희정 ,26000
"IT CookBook, 디지털 논리회로 실험 : 120개의 기본 실험과 12개의 텀 프로젝트","임석구 , 홍경호 ",23000
"IT CookBook, 윈도우 프로그래밍 : Visual C++ 2010 MFC Programming","김선우 , 신화선 ",28000
"IT CookBook, 실감나게 배우는 제어공학","한수희 , 이영삼 , 권보규 , 권오규 , 권욱현 ",28000
"IT CookBook, 디지털 실험 : with PSpice",홍순관 ,16000
"IT CookBook, 디지털 공학 : 논리회로의 설계 원리","김대정 , 모현선 ",28000
기초 선형대수학 : BASIC LINEAR ALGEBRA,"이광연 , 설한국 , 김진수 ",25000
대학수학 Plus : University Mathematics,이재원 ,26000
"IT CookBook, 웹 기획 기초와 설계(개정판) : 웹 사이트, 인터페이스, 디자인",강은정 ,23000
"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험","이승호 , 민경옥 ",22000
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010",김지연 ,24000
"IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처",신종홍 ,25000
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 ,18000
"IT CookBook, 전자기학 : ELECTROMAGNETICS","Arlon T. Adams , Jay Kyoon Lee(이재균) ",30000
"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석 ,38000
"IT CookBook, 인공지능 개론",마이클 네그네빗스키 ,25000
"IT CookBook, 현대 반도체 소자 공학 : Modern Semiconductor Devices for Integrated Circuits",첸밍 후(Chenming Calvin Hu) ,25000
"IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지",이철희 ,28000
"IT CookBook, enjoy design 포토샵 CS6",이영주 ,25000
"IT CookBook, TCP/IP 윈도우 소켓 프로그래밍",김선우 ,25000
"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식 ,10000
"IT CookBook, 전자회로 : 핵심 개념부터 응용까지","강문식 , 신경욱 ",32000
"IT CookBook, 데이터베이스 관리와 실습(개정판) : MS SQL Server 2008",손광수 ,25000
"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설 ,29000
"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영 ,24800
"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈 , 김종진 ",20000
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 ",27000
"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정 , 김태은 ",25000
"IT CookBook, 반도체 공학 연습문제 풀이집",김동명 ,22000
"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석 ",24000
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ",21000
"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희 ,10000
"IT CookBook, 개념이 보이는 물리전자공학",이현용 ,24000
문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지,한성우 ,18000
"진로개발과 직업세계 : 대학생과 청년층을 위한 진로, 취업지침서","서일수 , 김도균 , 김지혜 , 이정배 ",20000
Essential Calculus,James Stewart ,36000
"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영 , 임승각 ",25000
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 ",32000
