상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,icon,color
22905633,이디야커피연구소,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060500,가양3동,1150010400.0,가양동,1150010400204490004,1,대지,449,4.0,서울특별시 강서구 가양동 449-4,115003115008,서울특별시 강서구 양천로,551,17.0,1150010400104490004000001,비즈메트로1차,서울특별시 강서구 양천로 551-17,157200.0,7532.0,,1,,126.860924916169,37.5591005416689,cloud,red
20672477,이디야커피,개화산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900.0,방화동,1150010900208490000,1,대지,849,,서울특별시 강서구 방화동 849,115003115008,서울특별시 강서구 양천로,28,,1150010900108490000002832,벽산에어트리움,서울특별시 강서구 양천로 28,157220.0,7601.0,,1,,126.80689667978399,37.5722445063632,cloud,red
23382534,이디야커피,염창역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100.0,염창동,1150010100202820022,1,대지,282,22.0,서울특별시 강서구 염창동 282-22,115002005007,서울특별시 강서구 공항대로,629,,1150010100102820022027871,유보약국,서울특별시 강서구 공항대로 629,157864.0,7558.0,,1,,126.87484384943501,37.547232221154296,cloud,red
23255187,이디야커피,목동사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300.0,화곡동,1150010300207820001,1,대지,782,1.0,서울특별시 강서구 화곡동 782-1,115003005064,서울특별시 강서구 등촌로,15,,1150010300107820001020419,,서울특별시 강서구 등촌로 15,157010.0,7786.0,,1,,126.86347504182,37.531292122895,cloud,red
23389334,이디야커피마곡수명산점,마곡수명산점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600.0,내발산동,1150010600207500009,1,대지,750,9.0,서울특별시 강서구 내발산동 750-9,115003115007,서울특별시 강서구 수명로,68,27.0,1150010600107500009000001,웨스트엔드문화센터,서울특별시 강서구 수명로 68-27,157937.0,7635.0,,1,,126.826663385017,37.5526650246794,cloud,red
20094229,이디야커피,등촌3동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200.0,등촌동,1150010200207000000,1,대지,700,,서울특별시 강서구 등촌동 700,115004145183,서울특별시 강서구 공항대로41길,34,,1150010200107000000025308,플러스존,서울특별시 강서구 공항대로41길 34,157030.0,7587.0,,1,,126.84569916669399,37.559268019317,cloud,red
23385315,이디야커피,곰달래점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300.0,화곡동,1150010300209380018,1,대지,938,18.0,서울특별시 강서구 화곡동 938-18,115003005063,서울특별시 강서구 곰달래로,52,,1150010300109380018024780,,서울특별시 강서구 곰달래로 52,157010.0,7775.0,,1,,126.83857081499201,37.5299505499559,cloud,red
23272256,이디야커피,송정역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010800.0,공항동,1150010800200530001,1,대지,53,1.0,서울특별시 강서구 공항동 53-1,115002005007,서울특별시 강서구 공항대로,24,,1150010800100530008006031,,서울특별시 강서구 공항대로 24,157812.0,7623.0,,2,,126.809937135907,37.5611565100407,cloud,red
23431530,이디야커피,양천향교역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200.0,등촌동,1150010200206840003,1,대지,684,3.0,서울특별시 강서구 등촌동 684-3,115003115001,서울특별시 강서구 강서로,462,,1150010200106840003025331,대륭드림타워,서울특별시 강서구 강서로 462,157030.0,7573.0,,1,,126.841386428116,37.5666052206717,cloud,red
22519382,이디야커피,공항시장역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900.0,방화동,1150010900206140034,1,대지,614,34.0,서울특별시 강서구 방화동 614-34,115003115005,서울특별시 강서구 방화동로,37,,1150010900106140003029375,메디스타워,서울특별시 강서구 방화동로 37,157220.0,7620.0,,1,,126.810670159065,37.5641733332656,cloud,red
